item,class_id,class_name,th,default_name,obj_type,obj_mane,output_Measurement
Generic IO,207618304,Digital Input,207618320,Digital Input 8 Count,RegisterObj,NumericVariable_Register,
Generic IO,207618560,Digital Output,207618561,Digital Output 1,BoolObj,Boolean_Register,
Generic IO,207618560,Digital Output,207618562,Digital Output 2,BoolObj,Boolean_Register,
Generic IO,207618560,Digital Output,207618563,Digital Output 3,BoolObj,Boolean_Register,
Generic IO,207618560,Digital Output,207618564,Digital Output 4,BoolObj,Boolean_Register,
Generic IO,207618560,Digital Output,207618565,Digital Output 5,BoolObj,Boolean_Register,
Generic IO,207618560,Digital Output,207618566,Digital Output 6,BoolObj,Boolean_Register,
Generic IO,207618560,Digital Output,207618567,Digital Output 7,BoolObj,Boolean_Register,
Generic IO,207618560,Digital Output,207618568,Digital Output 8,BoolObj,Boolean_Register,
Generic IO,207618560,Digital Output,207618569,Digital Output 9,BoolObj,Boolean_Register,
Generic IO,207618560,Digital Output,207618570,Digital Output 10,BoolObj,Boolean_Register,
Generic IO,207618560,Digital Output,207618571,Digital Output 01 Operations Counter,RegisterObj,NumericVariable_Register,
Generic IO,207618560,Digital Output,207618572,Digital Output 02 Operations Counter,RegisterObj,NumericVariable_Register,
Generic IO,207618560,Digital Output,207618573,Digital Output 03 Operations Counter,RegisterObj,NumericVariable_Register,
Generic IO,207618560,Digital Output,207618574,Digital Output 04 Operations Counter,RegisterObj,NumericVariable_Register,
Generic IO,207618560,Digital Output,207618575,Digital Output 05 Operations Counter,RegisterObj,NumericVariable_Register,
Generic IO,207618560,Digital Output,207618576,Digital Output 06 Operations Counter,RegisterObj,NumericVariable_Register,
Generic IO,207619072,Analog Input,207619073,Analog Input 1 Value,RegisterObj,NumericVariable_Register,
Generic IO,207619072,Analog Input,207619074,Analog Input 2 Value,RegisterObj,NumericVariable_Register,
Generic IO,207619072,Analog Input,207619075,Analog Input 3 Value,RegisterObj,NumericVariable_Register,
Generic IO,207619072,Analog Input,207619076,Analog Input 4 Value,RegisterObj,NumericVariable_Register,
Generic IO,207619072,Analog Input,207619077,Analog Input 5 Value,RegisterObj,NumericVariable_Register,
Generic IO,207619072,Analog Input,207619078,Analog Input 6 Value,RegisterObj,NumericVariable_Register,
Generic IO,207619072,Analog Input,207619079,Analog Input 7 Value,RegisterObj,NumericVariable_Register,
Generic IO,207619072,Analog Input,207619080,Analog Input 8 Value,RegisterObj,NumericVariable_Register,
Generic IO,207619072,Analog Input,207619081,Analog Input 9 Value,RegisterObj,NumericVariable_Register,
Generic IO,207619072,Analog Input,207619082,Analog Input 10 Value,RegisterObj,NumericVariable_Register,
Power,190840832,Phase Power,190840837,Reactive Power A,RegisterObj,NumericVariable_Register,
Power,190840832,Phase Power,190840838,Reactive Power B,RegisterObj,NumericVariable_Register,
Power,190840832,Phase Power,190840839,Reactive Power C,RegisterObj,NumericVariable_Register,
Power,190840832,Phase Power,190840841,Apparent Power A,RegisterObj,NumericVariable_Register,
Power,190840832,Phase Power,190840842,Apparent Power B,RegisterObj,NumericVariable_Register,
Power,190840832,Phase Power,190840843,Apparent Power C,RegisterObj,NumericVariable_Register,
Power,190840832,Phase Power,190840833,Active Power A,RegisterObj,NumericVariable_Register,
Power,190840832,Phase Power,190840834,Active Power B,RegisterObj,NumericVariable_Register,
Power,190840832,Phase Power,190840835,Active Power C,RegisterObj,NumericVariable_Register,
Power,190840832,Phase Power,190840836,Active Power,RegisterObj,NumericVariable_Register,
